N,h,ndof,L2_u,L2_v,L2_disp,L2_disp_rel,H1_semi,H1_semi_rel,rate_L2,rate_H1,n_gauss,L2_stress,L2_stress_rel,rate_stress
2,0.426102,18,1.549366e-01,1.029884e-01,1.860429e-01,3.041722e-01,1.170129e+00,4.438178e-01,,,3,1.029209e+00,7.002330e-01,
4,0.213051,50,4.258381e-02,2.937596e-02,5.173324e-02,8.458215e-02,5.716356e-01,2.168141e-01,1.846,1.033,3,4.193483e-01,2.853071e-01,1.295
8,0.106525,162,1.094652e-02,7.624543e-03,1.334016e-02,2.181073e-02,2.829939e-01,1.073360e-01,1.955,1.014,3,1.464895e-01,9.966537e-02,1.517
16,0.053263,578,2.756985e-03,1.925127e-03,3.362600e-03,5.497742e-03,1.410871e-01,5.351253e-02,1.988,1.004,3,5.013212e-02,3.410780e-02,1.547
32,0.026631,2178,6.905591e-04,4.825037e-04,8.424261e-04,1.377339e-03,7.049020e-02,2.673603e-02,1.997,1.001,3,1.729902e-02,1.176953e-02,1.535
