N,h,ndof,L2_u,L2_v,L2_disp,L2_disp_rel,H1_semi,H1_semi_rel,rate_L2,rate_H1,n_gauss
2,0.500000,18,1.813175e-01,1.806303e-01,2.559362e-01,3.619484e-01,1.495650e+00,4.760801e-01,,,3
4,0.250000,50,5.092181e-02,5.147263e-02,7.240485e-02,1.023959e-01,7.247108e-01,2.306826e-01,1.822,1.045,3
8,0.125000,162,1.309961e-02,1.328207e-02,1.865511e-02,2.638231e-02,3.578143e-01,1.138958e-01,1.957,1.018,3
16,0.062500,578,3.298175e-03,3.346475e-03,4.698601e-03,6.644825e-03,1.782826e-01,5.674912e-02,1.989,1.005,3
32,0.031250,2178,8.260001e-04,8.382401e-04,1.176827e-03,1.664285e-03,8.906145e-02,2.834914e-02,1.997,1.001,3
