N,h,ndof,L2_u,L2_v,L2_disp,L2_disp_rel,H1_semi,H1_semi_rel,rate_L2,rate_H1,n_gauss
2,0.500000,50,1.482069e-02,1.587449e-02,2.171756e-02,3.071326e-02,2.911437e-01,9.267392e-02,,,4
4,0.250000,162,1.941276e-03,1.984340e-03,2.775996e-03,3.925852e-03,7.263350e-02,2.311996e-02,2.968,2.003,4
8,0.125000,578,2.453707e-04,2.466792e-04,3.479331e-04,4.920517e-04,1.808843e-02,5.757727e-03,2.996,2.006,4
16,0.062500,2178,3.075401e-05,3.079287e-05,4.352022e-05,6.154689e-05,4.516070e-03,1.437510e-03,2.999,2.002,4
32,0.031250,8450,3.846794e-06,3.847966e-06,5.441017e-06,7.694760e-06,1.128599e-03,3.592441e-04,3.000,2.001,4
