N,h,ndof,L2_u,L2_v,L2_disp,L2_disp_rel,H1_semi,H1_semi_rel,rate_L2,rate_H1,n_gauss,L2_stress,L2_stress_rel,rate_stress
2,0.426102,50,9.798686e-03,1.024959e-02,1.417986e-02,2.318360e-02,2.142079e-01,8.124630e-02,,,4,2.084173e-01,1.417985e-01,
4,0.213051,162,1.262242e-03,1.276749e-03,1.795367e-03,2.935367e-03,5.372492e-02,2.037717e-02,2.981,1.995,4,5.578109e-02,3.795113e-02,1.902
8,0.106525,578,1.578888e-04,1.594868e-04,2.244212e-04,3.669214e-04,1.339476e-02,5.080461e-03,3.000,2.004,4,1.414958e-02,9.626782e-03,1.979
16,0.053263,2178,1.972913e-05,1.994471e-05,2.805406e-05,4.586747e-05,3.344733e-03,1.268614e-03,3.000,2.002,4,3.547596e-03,2.413637e-03,1.996
32,0.026631,8450,2.465839e-06,2.493644e-06,3.506939e-06,5.733731e-06,8.358855e-04,3.170406e-04,3.000,2.001,4,8.874705e-04,6.037979e-04,1.999
