N,h,ndof,L2_u,L2_v,L2_disp,L2_disp_rel,H1_semi,H1_semi_rel,rate_L2,rate_H1,n_gauss,L2_stress,L2_stress_rel,rate_stress
2,0.426102,18,1.492841e-01,1.030880e-01,1.814190e-01,2.966124e-01,1.161544e+00,4.405617e-01,,,3,8.807485e-01,5.992265e-01,
4,0.213051,50,4.061771e-02,2.921604e-02,5.003374e-02,8.180353e-02,5.698306e-01,2.161295e-01,1.858,1.027,3,3.512017e-01,2.389430e-01,1.326
8,0.106525,162,1.040131e-02,7.549119e-03,1.285210e-02,2.101276e-02,2.827223e-01,1.072329e-01,1.961,1.011,3,1.205708e-01,8.203132e-02,1.542
16,0.053263,578,2.616699e-03,1.903333e-03,3.235705e-03,5.290272e-03,1.410513e-01,5.349895e-02,1.990,1.003,3,4.075840e-02,2.773032e-02,1.565
32,0.026631,2178,6.552209e-04,4.768532e-04,8.103723e-04,1.324932e-03,7.048566e-02,2.673431e-02,1.997,1.001,3,1.395936e-02,9.497366e-03,1.546
