N,h,ndof,L2_u,L2_v,L2_disp,L2_disp_rel,H1_semi,H1_semi_rel,rate_L2,rate_H1,n_gauss,L2_stress,L2_stress_rel,rate_stress
2,0.500000,18,1.918152e-01,1.806303e-01,2.634775e-01,3.726134e-01,1.510454e+00,4.807923e-01,,,3,1.282385e+00,7.504590e-01,
4,0.250000,50,5.457316e-02,5.201049e-02,7.538780e-02,1.066145e-01,7.278828e-01,2.316923e-01,1.805,1.053,3,5.686564e-01,3.327809e-01,1.173
8,0.125000,162,1.410726e-02,1.349789e-02,1.952454e-02,2.761188e-02,3.582891e-01,1.140470e-01,1.949,1.023,3,2.046048e-01,1.197359e-01,1.475
16,0.062500,578,3.556763e-03,3.406646e-03,4.925018e-03,6.965027e-03,1.783449e-01,5.676894e-02,1.987,1.006,3,7.071571e-02,4.138323e-02,1.533
32,0.031250,2178,8.910811e-04,8.536977e-04,1.234028e-03,1.745179e-03,8.906933e-02,2.835165e-02,1.997,1.002,3,2.449387e-02,1.433395e-02,1.530
