N,h,ndof,L2_u,L2_v,L2_disp,L2_disp_rel,H1_semi,H1_semi_rel,rate_L2,rate_H1,n_gauss,L2_stress,L2_stress_rel,rate_stress
2,0.426102,50,9.622229e-03,1.019007e-02,1.401517e-02,2.291434e-02,2.126381e-01,8.065091e-02,,,4,1.682381e-01,1.144622e-01,
4,0.213051,162,1.253708e-03,1.273995e-03,1.787413e-03,2.922362e-03,5.353771e-02,2.030617e-02,2.971,1.990,4,4.478546e-02,3.047016e-02,1.909
8,0.106525,578,1.575781e-04,1.594080e-04,2.241467e-04,3.664726e-04,1.337958e-02,5.074702e-03,2.995,2.001,4,1.134265e-02,7.717069e-03,1.981
16,0.053263,2178,1.971893e-05,1.994253e-05,2.804533e-05,4.585320e-05,3.343674e-03,1.268213e-03,2.999,2.001,4,2.842573e-03,1.933968e-03,1.996
32,0.026631,8450,2.465515e-06,2.493581e-06,3.506667e-06,5.733286e-06,8.358162e-04,3.170143e-04,3.000,2.000,4,7.110145e-04,4.837447e-04,1.999
