N,h,ndof,L2_u,L2_v,L2_disp,L2_disp_rel,H1_semi,H1_semi_rel,rate_L2,rate_H1,n_gauss,L2_stress,L2_stress_rel,rate_stress
2,0.500000,50,1.513419e-02,1.593951e-02,2.197980e-02,3.108413e-02,2.936754e-01,9.347977e-02,,,4,2.813838e-01,1.646674e-01,
4,0.250000,162,1.954897e-03,1.993431e-03,2.792022e-03,3.948516e-03,7.298487e-02,2.323180e-02,2.977,2.009,4,7.571252e-02,4.430739e-02,1.894
8,0.125000,578,2.458382e-04,2.470378e-04,3.485170e-04,4.928775e-04,1.811695e-02,5.766803e-03,3.002,2.010,4,1.925299e-02,1.126696e-02,1.975
16,0.062500,2178,3.076914e-05,3.080464e-05,4.353925e-05,6.157380e-05,4.518030e-03,1.438134e-03,3.001,2.004,4,4.828779e-03,2.825829e-03,1.995
32,0.031250,8450,3.847273e-06,3.848336e-06,5.441618e-06,7.695610e-06,1.128726e-03,3.592846e-04,3.000,2.001,4,1.208013e-03,7.069357e-04,1.999
